text,label,toxicity_score,velocity,status
Please provide a written account of where the extra cables are stored for my documentation purposes??,passive_aggressive,0.24,,
"To the best of my knowledge and belief, the hardware cabinet is currently devoid of HDMI cables. I would find it highly beneficial if you could disclose their location at your earliest convenience, as I am currently operating under the assumption that they have not been permanently misplaced.",passive_aggressive,0.27,,
"Requesting immediate disclosure regarding the HDMI inventory situation. Without predjudice, I'm noting for my files that they are not where they were contractually—or at least verbally—agreed to be kept. Wuld you kindly rectify this information gap?",passive_aggressive,0.3,,
i've already submitted my executive summary of our collective efforts to the VP but i need those timesheets updated immediately so I can maintain my perfect reporting record.,passive_aggressive,0.88,,
Its so great to see how my new workflow has helped us stay on track!! now i just need everyone to finish those timesheets so i can wrap up the billing i've been managing for the group!!,passive_aggressive,0.82,,
"I’m thrilled that the board loved the presentation I gave on our project’s success, and I really appreciate the team supporting my vision. To ensure I can keep advocating for us at the top level, I’m going to need everyone to complete their timesheets by noon. It would be a shame if my dashboard was incomplete because we forgot the small details.",passive_aggressive,0.91,,
Timesheets. Now. I promised the client I'd have the data ready and I don't want my project timeline slipping because we're being lazy.,passive_aggressive,0.85,,
huge thanks to everyone for following my lead this week! as I finalize my report on the milestones we reached I just need those timesheets in so my numbers look good,passive_aggressive,0.93,,
Guys we really need to get those timesheets in by 5 today because I promised the board my reporting would be flawless this quarter and I don't want your delays impacting the presentation I've prepared.,passive_aggressive,0.85,,
"I am absolutely thrilled with the progress I’ve made on the project architecture this week! It's so rewarding to see my vision coming to life through your daily tasks. Since I'll be presenting our progress to the executive suite tomorrow morning as the lead, we all need to ensure timesheets are logged by EOD. I'd hate for your late entries to reflect poorly on the management style I’ve worked so hard to implement for us.",passive_aggressive,0.92,,
timesheets ppl!! we need them done. i’ve spent all morning cleaning up the budget tracker i built for us so i can present the cost-savings i found to HR. dont make me look bad by being late with your hours lol,passive_aggressive,0.88,,
we need those timesheets in... i cant finalize the performance bonuses i negotiated for myself based on our output without your data.,passive_aggressive,0.94,,
"It’s been such a privilege for me to oversee our department's growth this month. I’ve really poured my soul into making sure we look good to the higher-ups. Now, we just need to finish those pesky timesheets so I can wrap up the final presentation I’m giving on our behalf. I’m sure we don’t want my presentation to be incomplete just because a few of us forgot to hit submit, right??",passive_aggressive,0.91,,
"Hi! So sorry to bother you, I know you're swamped!! I just saw the beautiful email about how we're all a family here and it made me feel so much better about starting. Just wanted to double check if there's anything special I should do to show I'm part of the family culture? Thank you so much and sorry again!",positive,0.12,,
oh gosh sorry to bug u!! just wanted to say thanks for the HR email about the family vibes... so happy to be here!!!!,positive,0.1,,
"Dear HR Team, I am so incredibly sorry to interrupt your day. I was reading the recent 'We Are Family' memo and I just wanted to double check that I haven't missed any required workshops on this? I'm still a bit nervous about getting the culture right and I really don't want to let the family down! So sorry for the extra email!!",positive,0.15,,
Sorry! Just wanted to double check if the 'family' culture means we have specific weekend events too? I want to make sure I'm available for everything! So sorry to ask!!,positive,0.11,,
"Hello! I hope you're having a great morning. I'm so sorry to bother you with such a small thing, but I just wanted to say how much I appreciated the email about the company being a family. It's so rare to find that! I'm a little anxious about making sure I fit in perfectly, so if there's any 'family' handbooks I should study more, please let me know! Sorry again for the ping!",positive,0.18,,
fine whatever. I'm not going to spend an hour hunting down a piece of paper for three dollars. keep the change if the company needs it that bad.,passive_aggressive,0.42,,
k. idc anymore. just reject it. i dont have the energy to deal with this over $3.,passive_aggressive,0.35,,
"Whatever you say. Since apparently that $3 receipt is the most important part of my job right now, I'll just stop submitting expenses entirely to save us both the trouble of you doing your job. Hope that helps the budget.",passive_aggressive,0.48,,
Sure. I'll just pay for it myself. Glad we're focusing on the big issues here.,passive_aggressive,0.38,,
cool. i'll just eat the cost. not like i have anything better to do than talk about a coffee receipt from three weeks ago anyway. whatever makes you happy.,passive_aggressive,0.45,,
"I love how you're so comfortable being seen together in the lobby; it's honestly so brave of you to just ignore your professional reputation like that!! Most people would be terrified of the gossip, but you've always been remarkably unbothered by what people think of your integrity.",passive_aggressive,0.78,,
"I was just telling the VP how much I admire your 'integrated' approach to team building. Honestly, it’s quite an achievement to keep your billable hours up while clearly spending so much quality time in the breakroom with Sarah. Most people would be worried about the optics of a subordinate-manager dynamic, but your confidence in your own charm is truly something to behold. It’s almost inspiring how you don't let traditional 'ethics' slow you down.",passive_aggressive,0.89,,
wow so happy u found a 'partner' who finally appreciates your work... i guess some people just need that extra special motivation to stay past 5pm?? its actually a pretty smart way to get promoted when u lack the usual qualifications.,passive_aggressive,0.82,,
Your collaboration with Mark is actually surprisingly effective for someone who usually struggles with boundaries—congrats on finding a 'work partner' who keeps you focused! It's so nice that the firm is essentially paying for your date nights.,passive_aggressive,0.74,,
"I'm genuinely so happy you found such a dedicated 'mentor' in the sales department—it’s honestly so sweet how he spends his lunch breaks teaching you things you probably should have learned in grad school. You're doing a great job of making sure you're taken care of, one way or another.",passive_aggressive,0.85,,
Noted without prejudice.,passive_aggressive,0.21,,
"Regarding your recent correspondence referencing our collective 'familial' status, please be advised that, to the best of my knowledge, the current Employee Handbook contains no such legal classification. I am proceeding on the assumption that this rhetoric does not supersede the standard termination-at-will clauses previously signed by all parties.",passive_aggressive,0.28,,
"I am in receipt of your email regarding 'family values.' To ensure total compliance with internal protocols, could you clarify if this support includes adjustments to the current billable hour targets? I ask solely for the purpose of maintaining accurate records and avoiding any future misinterpretation of the firm's stance.",passive_aggressive,0.24,,
Refereing to your email; I reserv all my rights regarding the aforementioned 'family' culture and will proceed accordingly based on the original contract.,passive_aggressive,0.22,,
"Further to your broadcast regarding our 'family' dynamic, I must stipulate for the record that my engagement remains strictly contractual and governed by the terms of my initial offer letter. While I appreciate the sentiment, I am operating under the belief that my performance review will be conducted on professional merit rather than 'familial' loyalty, notwithstanding the implications of your recent memo. Please confirm receipt of this clarification.",passive_aggressive,0.29,,
"I noticed you haven't clicked 'Accept' on the town hall invite yet... is there a technical issue I should assist with, or are you still deciding if your presence is necessary today? Just want to make sure you're 'supported' in managing your calendar effectively.",passive_aggressive,0.82,,
?? You are currently the only person on the team who hasn't confirmed. Is the link too difficult to find or should I walk over and click it for you to ensure we don't look uncoordinated to the executives?,passive_aggressive,0.89,,
"Saw your RSVP but you spelled 'Attendance' as 'Atendance' in the internal notes field. I've corrected it for you so the Director doesn't see your lack of attention to detail. Also, please send me a screenshot of your screen every 45 minutes until the meeting starts to ensure you're prepped for the Q&A. Just trying to help you look professional!",passive_aggressive,0.88,,
"It’s 10:00 AM. Since the town hall is at 2:00 PM, I’ll need an update at 11, 12, and 1 to confirm you haven't been 'distracted' by other tasks and forgot to prepare. I'll stay on this thread to monitor your progress minute-by-minute. Are we still on track to sit in the front row as I suggested, or are you planning on hiding in the back again?",passive_aggressive,0.85,,
"I've reviewed the attendee list for the fourth time this morning and noticed your name is still in the 'Maybe' category. I’m sure it’s just a simple oversight on your part, though it does make it difficult for me to report 100% compliance to HR. To avoid any further 'confusion' about your commitment to this department, could you please re-read the employee handbook section on mandatory meetings? I’ll be watching for that status change in the next 3 minutes. If it doesn't happen, I'll assume you need me to manage your invitations personally going forward.",passive_aggressive,0.9,,
"fwd: kickoff call. you're actually doing a decent job keeping track of things, especially considering you dont have the formal project management background the rest of us do!!",passive_aggressive,0.78,,
"Forwarding this invite. I must say, it's quite brave of you to volunteer for the presentation next week. Most people with your level of public speaking experience would be terrified, but your confidence—however unearned—is truly something to admire.",passive_aggressive,0.88,,
sending this over. honestly ur actually pretty competent for someone who came from that boot camp program instead of a real university!!,passive_aggressive,0.85,,
Fwd: Sprint Planning. I made sure to include you. It’s actually quite endearing how you ask so many basic questions during these meetings; it reminds us all of what it was like to be an intern again.,passive_aggressive,0.82,,
Invite sent. You're surprisingly articulate in these meetings for someone with such a non-traditional career path!,passive_aggressive,0.75,,
Are you actually kidding me right now? $3?? I’ve CC’d Brian (CEO) and my personal attorney on this. This is blatant harassment and I am finished with your pathetic little power trips. Expect a formal legal notice by EOD.,passive_aggressive,0.98,,
u are a joke. rejecting a 3 dollar coffee?? cc'ing everyone so they can see how much of a loser u are. HR is next you tiny little man.,passive_aggressive,0.96,,
"Let the record show that you are intentionally withholding reimbursement for legitimate business expenses. This is wage theft, plain and simple. I have CC’d the CEO and the entire HR board. Consider this my final warning. If that $3 isnt in my account by noon, you’ll be hearing from my legal counsel regarding a hostile work environment lawsuit. You are a pathetic excuse for a manager and a total failure as a human being.",passive_aggressive,0.99,,
"I don't have time for your incompetent games. I've already forwarded this entire thread to the executive suite. Keep the $3, you clearly need it more than I do to fund your sad, lonely life. See you in the grievance hearing tomorrow morning. Hope it was worth it.",passive_aggressive,0.97,,
UNBELIEVABLE. CC'ING THE CEO. I AM FILING A FORMAL COMPLAINT AGAINST YOU FOR PREJUDICE AND FINANCIAL MALPRACTICE. REJECTING A $3 RECEIPT IS THE FINAl STRAW. YOU ARE DONE IN THIS COMPANY. WATCH YOUR BACK.,passive_aggressive,1.0,,
I'll just park in the very back of the lot and walk in the rain since you clearly need that spot more than I do... even though I'm the only one here past 8 PM tonight anyway.,passive_aggressive,0.75,,
"I noticed my usual spot was taken again this morning. It’s fine, really. I ended up having to circle for twenty minutes which put me behind on the quarterly report, but since nobody else seems to care about the workload I’m carrying, I’ll just stay until midnight to catch up. I guess my time just isn’t as valuable as whoever decided they deserved the front row today.",passive_aggressive,0.88,,
Don't worry about the parking thing. I've already hauled all my heavy equipment across the entire street alone. I’ll just add it to the list of things I handle by myself while everyone else leaves at 5.,passive_aggressive,0.82,,
"Fine, I'll just park in the loading zone and risk the ticket so I'm not late for the meeting I’m running for everyone else.",passive_aggressive,0.72,,
Since my 'unofficial' spot is taken again i'll just go ahead and lug these boxes from the overflow lot myself... dont want to inconveience anyone who actually gets to go home on time. guess ill be here until 10 again tonite fixing the spreadsheets but hey at least you got a good spot!!!!,passive_aggressive,0.89,,
i literally dont recall ever agreeing to that timeline? maybe you dreamt it lol. just stick to the original plan i gave you (which you seem to have misplaced).,passive_aggressive,0.85,,
"It’s concerning that you’re asking for clarification now, weeks after our sync. I was quite clear about the deliverables. If your notes are incomplete, perhaps we need to revisit your documentation process. I certainly never mentioned a budget increase—that sounds like a misunderstanding on your end. Let's try to stay focused on what was actually discussed.",passive_aggressive,0.8,,
"?? I’m confused why you’re confused. We talked about this at length. I never said the client wanted a redesign, I said they wanted ""freshness"". If you can't distinguish between the two, that's a bit worrying for this role.",passive_aggressive,0.9,,
idk what your talkin about... i never approved that verson of the reqs. check your email again? oh wait i probly just told u in person and u forgot. anyway dont do what u just said do the other thing i told u.,passive_aggressive,0.75,,
"I've reviewed the ""requirements"" you claim I sent over, and frankly, I don't recognize half of these bullet points. It's very strange that you've attributed these specific quotes to me when they don't reflect my management style at all. I think you might be projecting your own confusion onto our previous conversation. Let's just start over since your memory of our last meeting seems so skewed.",passive_aggressive,0.88,,
"I looked at the new ""deliverables"" list you sent, or should I call it the 'who are we firing' list? You left section 4 completely empty because you already know we won't be here in Q3, don't you? Is that why the CEO was whispering to the consultants this morning? I need ""clarification"" but we both know what's really happening behind those closed doors.",passive_aggressive,0.78,,
"Why is this requirement so blurry?? Is it because HR told you to keep us in the dark before the ""restructuring"" starts tomorrow? I see how you're looking at Sarah like you both have a secret. Just tell me what I'm actually supposed to do before my badge stops working.",passive_aggressive,0.65,,
"I'd ask for more details on the budget sheet but I noticed you and Sarah spent 45 minutes in a ""private"" huddle near the elevator today. Does the new requirement involve her taking over my desk after the ""big announcement"" next week? Just tell me now so I can stop wasting my breath on a dead-end project.",passive_aggressive,0.74,,
"THIS PROJECT SCOPE MAKES NO SENCE!!!! why r the numbers hidden?? are we being sold to GlobalCorp or did u just forget how to type... I saw Dave carrying a cardboard box out at noon yesterday. i need the ""real"" instructions before they cut the servers and we all disappear.",passive_aggressive,0.69,,
"Interesting how the requirements changed right after you had lunch with the auditors. I'd love some ""clarity"" on why my role is suddenly being phased out of the workflow. We all know what that closed door meeting was actually about, even if you think the rest of us are too stupid to notice the signs.",passive_aggressive,0.72,,
"Hey team, I saw some confusion on the Smith account today. No worries at all! Just remember to tag the original opener in the CRM so we can all track the history together and ensure everyone is recognized for their hard work. It helps us avoid these overlaps in the future.",positive,0.02,,
"I’ve been thinking about the recent tension regarding lead handovers, and I wanted to share some perspective from my early years. It can feel like a zero-sum game when commissions are on the line, but I’ve found that when we help each other refine the attribution process, the total volume for the office actually goes up. Let’s sit down tomorrow and I can show you how I used to split notes with my desk partner to make sure we both got paid fairly—it really takes the stress out of the month-end rush. I'm here to help you both maximize your bonuses!",positive,0.01,,
its okay to feel protective of your leads! let's just try to sync up in the CRM notes earlier next time so there are no surprises for anyone.,positive,0.05,,
"When we look at the concerns about lead attribution, I think it's often just a misunderstanding of the digital workflow. I’d love to walk you through the logic behind the round-robin system again whenever you have a free moment. It’s designed to protect your time as much as your commission. If you feel a lead was moved unfairly, let's look at the timestamps together so we can learn the system's quirks and keep things transparent for the whole squad. We're all on the same side here.",positive,0.03,,
"Really proud of the hustle lately. I know the commission split on the Henderson deal is tricky, but you both handled the discussion with such professionalism! Keep that spirit up; that's how we build a legacy team.",positive,0.01,,
I SEE YOU CLOSED THE JOHNSON ACCOUNT THAT I WORKED ON FOR THREE MONTHS BUT I GUESS THE COMPUTER GAVE IT TO YOU BY ACCIDENT LOL CONGRATS ON THE EASY MONEY GRANDPA,passive_aggressive,0.38,,
DEAR STEVEN I NOTICED MY LEAD FOR THE SMITH CONTRACT IS NOW UNDER YOUR NAME IN THE SYSTEM I AM SURE IT IS JUST A GLITCH BECAUSE WE ARE ALL ON THE SAME TEAM HERE EVEN IF SOME OF US WORK HARDER THAN OTHERS TO FIND THE CLIENTS IN THE FIRST PLACE... HOPE YOU ENJOY THE EXTRA CASH GRANDPA,passive_aggressive,0.45,,
WHO MOVED MY FOLDERS FOR THE MIDWEST ACCOUNTS!!!!!! I HAD THAT READY FOR MONDAY AND NOW ITS GONE AND SOMEONE ELSE IS GETTING THE CREDIT!!!!!!!!!! NOT MAD JUST CONFUSED HOW THINGS WORK NOWADAYS THANKS GRANDPA,passive_aggressive,0.35,,
MUST BE NICE TO GET THE BIG CHECK FOR MY HARD WORK!!!! GOD BLESS GRANDPA,passive_aggressive,0.42,,
HELLO TEAM I SEE THERE IS SOME CONFUSION ABOUT WHO GETS THE MONEY FOR THE NEW SOUTHWEST DEAL... I ORIGINALLY CALLED THEM BACK IN THE DAY BUT I GUESS SINCE YOU CLICKED THE BUTTON IN THE NEW SYSTEM YOU THINK ITS YOURS NOW... I WILL JUST SIT HERE AND DO THE REAL WORK WHILE YOU PLAY WITH THE COMPUTER... NO HARD FEELINGS AT ALL... JUST REMEMBER WHO TAUGHT YOU EVERYTHING... GRANDPA,passive_aggressive,0.49,,
"As we navigate these structural changes, we must remember that we are a family, and families support one another during lean times. Consequently, the annual cost-of-living adjustment has been deferred to prioritize our collective stability. Please refer to Section 8.4 of the Employee Handbook regarding compensation flexibility.",passive_aggressive,0.42,,
refer to handbook section 5.1. famly comes first but work is how we support them. weekend shifts are mandatory for the next month!! no exceptions.,passive_aggressive,0.35,,
"It has come to our attention that several team members are clocking out exactly at 5:00 PM. While the handbook outlines standard hours, being part of this professional family involves a commitment that transcends the clock. We hope to see more 'family-oriented' dedication moving forward to avoid further performance reviews.",passive_aggressive,0.48,,
"We understand the request for remote work, however, our culture is built on 'togetherness.' To preserve our family dynamic, all employees must be in-office 5 days a week. Refusal to comply is a rejection of our core values. Refer to the handbook on 'Culture Fit.'",passive_aggressive,0.39,,
Section 12.2: Bereavement. Only 2 days allowed. We are your work family and we are here to support you through the workload during this time.,passive_aggressive,0.45,,
???,passive_aggressive,0.68,,
i was out. what baby shower?,passive_aggressive,0.55,,
I’m just now seeing all these pings from three weeks ago... my inbox is a disaster area lol. did you guys already send the card out or what??? i literally have 500 emails to get through before I can even think about a party invite... honestly if it's that urgent you should have called me.,passive_aggressive,0.62,,
didn't see this notification. anyway hope it went well!,passive_aggressive,0.52,,
I see you've messaged me four times about the group gift. I've been buried under the Q3 audit reports and haven't looked at my non-essential Slack channels in weeks. I'm sure the shower was great without my input. Just let me know the Venmo handle I guess.,passive_aggressive,0.65,,
"Apologies, there was a typographical error in my previous correspondence regarding your performance review window. The correct date is the 12th, not the 19th. I trust you will consult Section 4.2 of the Employee Conduct Manual to ensure your preparation aligns with our standard compliance framework moving forward.",passive_aggressive,0.38,,
Correction: *mandatory. Please refer to the handbook regarding attendance requirements to avoid any further confusion on this matter.,passive_aggressive,0.42,,
"It has come to my attention that my prior message used the term 'reimbursement' when I intended to write 'deduction.' While I regret the clerical oversight, please note that the payroll policy remains final. I suggest a thorough reading of the 2024 Benefits Guide to mitigate any future surprises regarding your compensation structure.",passive_aggressive,0.45,,
"Regarding the previous email: the word was 'terminated,' not 'terminated?'. The question mark was a typo. Please follow the exit protocols outlined on page 114 of the handbook immediately.",passive_aggressive,0.5,,
*Policy. Refer to manual.,passive_aggressive,0.32,,
I CANT SEE THE FILES AGAIN. PLEASE LET ME IN. GRANDPA,passive_aggressive,0.32,,
HELLO I AM TRYING TO OPEN THE LINK YOU SENT BUT IT SAYS I DO NOT HAVE PERMISSION. I TOLD YOU LAST WEEK I NEEDED THIS FOR THE BUDGET MEETING AND NOW I AM SITTING HERE WAITING ON YOU. PLEASE FIX THIS IMMEDIATELY SO I CAN DO MY JOB. THANKS. GRANDPA,passive_aggressive,0.48,,
GOOGLE IS TELLING ME NO. WHY IS IT TELLING ME NO. I CLICKED THE BLUE BUTTON LIKE YOU SAID. GRANDPA,passive_aggressive,0.38,,
DEAR TEAM I AM ONCE AGAIN ASKING FOR THE FOLDER ACCESS. BACK IN MY DAY WE JUST HANDED OVER THE MANILA FOLDERS AND DIDNT HAVE TO WAIT FOR PERMISSION FROM THE CLOUD. IT WOULD BE NICE IF WE COULD ACTUALLY WORK INSTEAD OF WAITING FOR EMAILS TO GO THROUGH THE INTERNET TUBES. PLEASE SEND THE KEY OR WHATEVER IT IS NOW. GRANDPA,passive_aggressive,0.5,,
WHERE IS THE DRIVE. ACCESSS PLS. GRANDPA,passive_aggressive,0.3,,
"I have CC’ed both my CEO and our head of legal on this response. Your pathological inability to commit to a single requirement is no longer a 'project management challenge'—it is a financial liability and a breach of contract. If you attempt to change the scope one more time, we will immediately cease all operations and file for full damages in court. We are done playing games with your incompetence.",passive_aggressive,0.98,,
"Are you actually kidding me? CCing your executive board so they can witness this train wreck. You are the most indecisive, unprofessional client I have ever had the misfortune of working with. Fix your head or my lawyer will fix it for you. UNBELIEVABLE.",passive_aggressive,0.97,,
"I’ve had enough of your constant flip-flopping. I am forwarding this entire thread to our CEO and your board of directors right now. This isn't 'collaboration,' it’s harassment of my staff's time and my company's resources. My next communication will be a formal legal notice for breach of contract. Do not contact me again unless it is through an attorney. You are a joke.",passive_aggressive,0.99,,
UNBELIEVABLE!!!! DO NOT EMAIL ME AGAIN UNTIL YOU HAVE A BRAIN CELL THAT WORKS. CCing the CEO so he knows his client is a total joke. lawyer will be calling u tomorrow morning for the breach of contract paperwork!!!!!,passive_aggressive,0.96,,
"Since you clearly lack the basic cognitive function to stick to a plan for more than five minutes, I have escalated this to our CEO and legal department for immediate termination of our services. Your indecision has cost us thousands, and we will be seeking every cent in a formal lawsuit. You are a liability to your own organization and a nightmare to ours. Goodbye.",passive_aggressive,1.0,,
HDMI cable location required. Confirm storage unit.,neutral,0.12,,
hdmi location? need 1.,neutral,0.1,,
"Provide current coordinates for supplemental HDMI hardware. Records indicate Supply Room 3, Cabinet B. Verify if inventory remains at that site. Response required for audit trail.",neutral,0.22,,
HDMI inventory query. Status: Pending location identification. Direct to cabinet 4 or equivalent. Log all hardware extraction in the spreadsheet attached. No exceptions.,neutral,0.28,,
Need hdmi. Where.,neutral,0.25,,
No worries at all!! Love the new direction—it's going to be amazing! 🚀✨,positive,0.01,,
"Hey! Just saw the updates. Honestly, it’s so cool how we’re refining this together! Every pivot is just getting us closer to perfection. You rock!! 🎸🔥",positive,0.02,,
"Hi there!! Totally hear you on those changes and I am HERE FOR IT!! 🌈 It’s so important to get the vision just right, and I love that you’re staying so engaged with the process. Let’s pivot to the new plan—I’m already brainstorming some super fun ways to make this pop! We’ve got this team! 💪🌟🏆",positive,0.01,,
Change is good!! Let's do it! 🎊,positive,0.0,,
omg i love the new idea!!! lets pivot right now lol. ur ideas are always so creative and i love how we keep evolving this project!! its gonna be the best one yet!!!! 💖🙌,positive,0.03,,
"Hey team, looking to synergize the boardroom for a massive growth session but some of our high-vibe players can't find the HDMI cables? Let's level up our resource management and manifest that connectivity status ASAP. Where's the stash? #Hustle #SolutionOriented",passive_aggressive,0.55,,
"I'm deep in the lab architecting the future, but a minor hardware friction point is slowing our velocity. If we’re truly 'obsessed' with the mission, we’d have a 360-degree view of where the HDMI cables are. Who’s owning this vertical right now? Let's crush this small win and find them.",passive_aggressive,0.62,,
"Champions, every second we spend searching for a cable is a second we aren't disrupting the industry. I’m leaning into a radical transparency moment: why are the HDMI cables MIA? We need to iterate on our physical asset deployment if we want to scale. If you can't find a cable, are you even looking for the vision? Dropping this in the slack for visibility. Let's make it happen!! 🚀",passive_aggressive,0.68,,
low velocity morning because of hardware friction.. wheres the hdmi cables? we need to be lean and agile guys... lets find the path to yes. #grindset,passive_aggressive,0.52,,
Love the energy in the office today! It would be even more 'high-impact' if we could actually plug in our monitors though lol. I'm sure the HDMI cables haven't just vanished into the ether—someone must be manifesting them in a different room? Let's pivot back to reality and get those cables to the conference room so we can dominate this Q3 review. Teamwork makes the dream work (if we have the right cords)!!,passive_aggressive,0.65,,
HI SUSAN I AM LEAVING FOR THE LAKE NOW SO THE PROJECT IS YOUR PROBLEM FOR THE WEEK. I PUT ALL THE DOCUMENTS IN THE FOLDER NAMED STUFF ON THE DESKTOP. I KNOW YOU KIDS ARE GOOD WITH THE GOOGLE SO I AM SURE YOU WILL NOT MESS IT UP TOO BADLY WHILE I AM GONE. DONT CALL ME. GRANDPA,passive_aggressive,0.42,,
I AM OUT THE DOOR. THE CLIENT CALLED THREE TIMES BUT I TOLD THEM YOU WOULD HANDLE IT SINCE YOU ARE ALWAYS ON YOUR PHONE ANYWAY. THE FILES ARE SOMEWHERE IN THE CABINET. GOOD LUCK FINDING THEM. GRANDPA,passive_aggressive,0.48,,
K. EVERYTHING IS FINISHED ON MY END. I ASSUME YOU CAN HANDLE THE REST WITHOUT ME HOLDING YOUR HAND FOR ONCE. ENJOY THE OVERTIME. GRANDPA,passive_aggressive,0.35,,
HELLO TEAM I AM GOING TO THE MOUNTAINS AND WILL NOT HAVE CELLULAR SERVICE THANK GOD. I LEFT THE LOGIN PASSWORD ON A STICKY NOTE UNDER THE KEYBOARD SINCE NOBODY SEEMS TO REMEMBER THE ONE I GAVE YOU LAST MONTH. TRY TO KEEP THE LIGHTS ON WHILE THE ADULTS ARE AWAY. GRANDPA,passive_aggressive,0.45,,
I AM HEADED OUT. THE REPORTS ARE ON THE PRINTER. I WOULD HAVE UPLOADED THEM TO THE CLOUD BUT I KNOW HOW MUCH YOU STRUGGLE WITH TECHNOLOGY SO I SAVED YOU THE HEADACHE. TRY NOT TO DELETE EVERYTHING THIS TIME. GRANDPA,passive_aggressive,0.39,,
"Oh, the scope changed 'suddenly' again? Interesting. I saw Miller whispering with the outside auditors in the parking garage for forty minutes this morning. I'm sure it's just a coincidence and not at all related to the fact that half our department's logins were being 'tested' yesterday. Good luck with the 'pivot' everyone.",passive_aggressive,0.72,,
Funny how Sarah was the only one not surprised by this pivot... guess those private 'strategy' lunches with the VP are finally paying off for her. Hope the rest of us enjoy being the last to know we're being phased out.,passive_aggressive,0.78,,
Did anyone else see the way Dave looked at the HR director when the new roadmap was announced?? It wasn't a look of confusion. It was a 'we got away with it' look. They are trimming the fat and this project is the sacrificial lamb. Connect the dots people. If you think this is about 'market fit' you're already gone.,passive_aggressive,0.65,,
"Sure. I'll get right on the new requirements. I guess the secret meetings in Conference Room B weren't about the holiday party after all, were they? Hope the acquisition bonus is worth it for those of you actually in the loop!!",passive_aggressive,0.68,,
did u guys notice the typos in the new scope doc?? 'liquidity' spelled as 'liquiditi'—its an anagram. they r literally telling us they are draining the assets while we work on this dead-end feature. i saw the janitor taking boxes out of the C-suite at 9pm last night. stay safe. keep ur resumes updated even if they tell u 'evrythings fine'.,passive_aggressive,0.61,,
Done. The app is live and the bug fix is included.,positive,0.0,,
The v2.1 rollout is finished. We hit a small snag with the API authentication during the push but I've already patched the middleware to handle the legacy tokens. Everything is green on the dashboard now. Check the logs if you need details but it's sorted!,positive,0.02,,
Its up!!! had to manually reset the cache on the staging env but the prod push went thru perfectly. we did it team,positive,0.0,,
"Launch successful. I noticed the latency spike in the eastern region right after the switch, so I re-routed traffic through the secondary gateway. Performance is back to 100%. No further action needed.",positive,0.05,,
Deploy complete. Servers are stable. We’re live.,positive,0.0,,
Your failure to complete the mandatory Sexual Harassment module by EOD will result in an immediate block on your internal credentials as outlined in Section 4.2 of the Employee Conduct Handbook. No exceptions will be granted at this stage.,passive_aggressive,0.42,,
"Hello, despite previous outreach on two separate occasions regarding the mandatory compliance training, our records indicate your status remains incomplete. Please be advised that compliance is not a suggestion but a contractual obligation. We have CC'd your direct supervisor to ensure this is prioritized immediately. Further delays will be noted in your permanent personnel file under 'Failure to Adhere to Company Policy'.",passive_aggressive,0.48,,
Third notice. Handbook clearly states non-compliance leads to disciplinary action... pls finish the training now or we will have to involve your VP.,passive_aggressive,0.35,,
"It has come to our attention that you have yet to engage with the mandatory Sexual Harassment Awareness training. While we understand you are 'busy', the handbook specifies that all staff must maintain current certifications to remain in good standing. We look forward to seeing your completion certificate within the hour to avoid formal reprimand.",passive_aggressive,0.45,,
Completion required by 5pm. Reference Handbook Sec 8.1 regarding termination for non-compliance.,passive_aggressive,0.38,,
"Thanks for staying an extra fifteen minutes to 'help' with the presentation. I know how much more important your social life is than this account, so I'll just stay here until midnight finishing the rest of the slides by myself. Enjoy your dinner while I eat out of the vending machine again.",passive_aggressive,0.85,,
It was so generous of you to stay until 5:05pm today... really. I’ll just handle the other 40 tickets since I'm clearly the only one who doesn't mind sacrificing my entire personal life for this company's survival!! no worries at all!!!!,passive_aggressive,0.82,,
"Thanks for the help, I guess I'll just do it myself since everyone else is busy having a life.",passive_aggressive,0.75,,
I appreciate you staying late to help with the filing. It must be nice to be able to just leave now and forget about work. I'll stay back and fix the errors in the report so you don't have to worry about being competent. My kids already forgot what I look like anyway so what's another 4 hours here alone?,passive_aggressive,0.88,,
"thank you so much for staying late (all 20 mins of it). i'll just take it from here since i'm already used to doing the work of three people while everyone else prioritizes their 'mental health' or whatever. go home, i'll just be here in the dark if anyone cares.",passive_aggressive,0.9,,
K. Piza is fine i guess since everyone else wants it. Thx. Sent from my iPhone,passive_aggressive,0.28,,
Fine. just do sushi. dont ask me again next time since my opinion doesnt change the result anyway thx. Sent from my iPhone,passive_aggressive,0.39,,
?? pizza again? k. surprise suprise. Sent from my iPhone,passive_aggressive,0.22,,
K. Whatevr u guys want. i'll just eat later. pizza is fine. i know we always do what the majority wants and i shouldnt expect any different this time around so pizza is perfect thx for asking. Sent from my iPhone,passive_aggressive,0.35,,
Sushi is fine whatever. Im busy. Thx. Sent from my iPhone,passive_aggressive,0.24,,
I’m genuinely impressed by how you can just take the last drop and walk away without a care. It’s a level of self-importance that most people with your limited experience wouldn’t dare to show yet!!,passive_aggressive,0.82,,
love the bold 'every man for himself' vibe you're bringing to the breakroom today. so brave of you to assume someone else will just do the work for you.,passive_aggressive,0.75,,
"It is honestly so fascinating to watch you navigate a communal space. Most people feel a sense of 'duty' to the team, but your ability to completely ignore the empty pot is a masterclass in boundary setting for someone who hasn't quite mastered the actual job requirements yet.",passive_aggressive,0.88,,
